method,option,option_key,eps,price,reference,abs_error,std_error,rmse_proxy,runtime,cost,L,N_l,n_paths,n_steps,converged,rep,level_means,level_vars,allocation_rounds_by_L
Standard MC,European Call,european,0.002,0.10506445081976988,0.10450583572185568,0.0005586150979142029,0.0014049235041932217,0.0015119063728459695,0.19520190000184812,11371520,,[11105],11105,1024.0,True,0,,,
Original Giles MLMC,European Call,european,0.002,0.10370516335027193,0.10450583572185568,0.0008006723715837522,0.0011315461598819677,0.0013861720522940785,0.002961599995614961,263037,2.0,"[13037, 10000, 10000]",33037,,True,0,"[0.10167923378590811, 0.0017747902515708115, 0.00025113931279299837]","[0.01600297363163502, 0.000429589384944625, 9.93346788538358e-05]",
Modified MLMC,European Call,european,0.002,0.102937199737539,0.10450583572185568,0.0015686359843166825,0.0011402666293210718,0.001939285135619929,0.0029018000059295446,262822,2.0,"[12822, 10000, 10000]",32822,,True,0,"[0.1003972816452556, 0.0022563722872878614, 0.00028354580499552375]","[0.015979812752374693, 0.000434219222529173, 0.00010505237580924249]","[1, 2, 4]"
Standard MC,European Call,european,0.001,0.10495236915364874,0.10450583572185568,0.0004465334317930586,0.0007067547706536389,0.000835999049969893,0.49764250000589527,44980224,,[43926],43926,1024.0,True,0,,,
Original Giles MLMC,European Call,european,0.001,0.10464066539813904,0.10450583572185568,0.00013482967628336562,0.0005976139594019396,0.0006126348717455939,0.0037124999798834324,303573,2.0,"[53573, 10000, 10000]",73573,,True,0,"[0.10227824882926338, 0.002189483451368042, 0.00017293311750761153]","[0.016191153090686014, 0.00044777269145462417, 0.00010139182929572087]",
Modified MLMC,European Call,european,0.001,0.1042816318945151,0.10450583572185568,0.0002242038273405772,0.000605024633664317,0.0006452303182080057,0.0038235000101849437,302247,2.0,"[52247, 10000, 10000]",72247,,True,0,"[0.1017625041397833, 0.002258727847260033, 0.0002603999074717665]","[0.016038601840055948, 0.00048094675451424215, 0.00010983619552509489]","[5, 4, 4]"
Standard MC,European Call,european,0.0005,0.10435679484269315,0.10450583572185568,0.00014904087916252362,0.0003571059068022538,0.00038695970376073776,6.529659099993296,697286656,,[170236],170236,4096.0,True,0,,,
Original Giles MLMC,European Call,european,0.0005,0.10480356856257375,0.10450583572185568,0.0002977328407180735,0.00033350355360372484,0.0004470676287860331,0.006481699994765222,503513,2.0,"[214653, 17772, 10000]",242425,,True,0,"[0.10233381731054901, 0.0021015160344421595, 0.00036823521758258965]","[0.016223195041539587, 0.0004474056483948524, 0.00010471169117922996]",
Modified MLMC,European Call,european,0.0005,0.10468049757230216,0.10450583572185568,0.00017466185044648364,0.00033767447082433215,0.0003801720797847766,0.007061999989673495,493064,2.0,"[206629, 17287, 10000]",233916,,True,0,"[0.1020731859304036, 0.0021712386755014575, 0.00043607296639711687]","[0.015991187526856687, 0.00044920708635993805, 0.000106479752792705]","[6, 4, 4]"
Standard MC,Asian Call,asian,0.002,0.058471687617028735,0.058193568774679516,0.00027811884234921896,0.0008048787764655726,0.0008515749733725075,0.19319560000440106,10240000,,[10000],10000,1024.0,True,0,,,
Original Giles MLMC,Asian Call,asian,0.002,0.05751811516690111,0.058193568774679516,0.0006754536077784035,0.0007510288203786807,0.001010090028314434,0.0031666999857407063,260000,2.0,"[10000, 10000, 10000]",30000,,True,0,"[0.05018041205022415, 0.006788909841734375, 0.0005487932749425868]","[0.0039543499966198, 0.0015492199602824368, 0.00013687293349169067]",
Modified MLMC,Asian Call,asian,0.002,0.05672983421741052,0.058193568774679516,0.001463734557268996,0.0007523244240021024,0.0016457554171545538,0.0029366000089794397,260000,2.0,"[10000, 10000, 10000]",30000,,True,0,"[0.04973678226190499, 0.006328274581861941, 0.0006647773736435839]","[0.003937597931555895, 0.0015784398717569104, 0.00014388258618814565]","[1, 1, 1]"
Standard MC,Asian Call,asian,0.001,0.05792909062145771,0.058193568774679516,0.0002644781532218088,0.000704308769967838,0.0007523294072314518,0.22506619998603128,13107200,,[12800],12800,1024.0,True,0,,,
Original Giles MLMC,Asian Call,asian,0.001,0.05749534433506856,0.058193568774679516,0.000698224439610956,0.0005843774954006215,0.0009105022928036683,0.0033349999866914004,274340,2.0,"[24340, 10000, 10000]",44340,,True,0,"[0.05141902998232795, 0.005651021380928314, 0.0004252929718122916]","[0.004065578612254195, 0.001604808692027276, 0.00013983377235527353]",
Modified MLMC,Asian Call,asian,0.001,0.05769717110833052,0.058193568774679516,0.0004963976663489994,0.000586940360387372,0.0007687064653093472,0.003357399982633069,273528,2.0,"[23528, 10000, 10000]",43528,,True,0,"[0.05129118012712064, 0.005902105546121335, 0.000503885435088543]","[0.004078190703859799, 0.0015728863836473913, 0.00013876843362581957]","[1, 5, 4]"
Standard MC,Asian Call,asian,0.0005,0.05721968051546532,0.058193568774679516,0.0009738882592141979,0.00035694124634129014,0.0010372393141290656,2.285366399999475,202706944,,[49489],49489,4096.0,True,0,,,
Original Giles MLMC,Asian Call,asian,0.0005,0.057655994531360534,0.058193568774679516,0.000537574243318982,0.00031117887576609176,0.0006211427853585879,0.014958599989768118,1288007,3.0,"[112527, 35096, 10000, 10000]",167623,,True,0,"[0.051220636701032024, 0.006032528401436617, 0.00036685288192457274, 3.597654696731966e-05]","[0.00403894076377025, 0.001590276894545483, 0.0001415078466558217, 1.4762289031683395e-05]",
Modified MLMC,Asian Call,asian,0.0005,0.05774557457696022,0.058193568774679516,0.00044799419771929944,0.0003159966035499008,0.0005482268277321276,0.01587830000789836,1276063,3.0,"[107603, 33692, 10000, 10000]",161295,,True,0,"[0.05095629798752183, 0.006026184587361747, 0.0006932943102738367, 6.97976918028016e-05]","[0.004014393842435075, 0.0015674832809766102, 0.00014466816254335535, 1.5556831600920258e-05]","[5, 5, 4, 3]"
