method,option,option_key,eps,price,reference,abs_error,std_error,rmse_proxy,runtime,cost,L,N_l,n_paths,n_steps,converged,rep,level_means,level_vars,allocation_rounds_by_L
Standard MC,European Call,european,5e-05,0.1045232497176138,0.10450583572185568,1.7413995758122636e-05,3.5610499131592916e-05,3.964031907874977e-05,7329.56076449994,1119757598720,,[17086145],17086145,65536.0,True,0,,,
Original Giles MLMC,European Call,european,5e-05,0.10455556451427947,0.10450583572185568,4.9728792423792134e-05,3.53912752251174e-05,6.103683443617153e-05,0.4606101668905467,57074295,3.0,"[25580690, 2125813, 518783, 131111]",28356397,,True,0,"[0.10205890992221633, 0.0021060989319272036, 0.0003171092681508571, 7.3446391985081e-05]","[0.01610920132705441, 0.0004448138434249653, 0.00010630432396039516, 2.735586487273294e-05]",
Modified MLMC,European Call,european,5e-05,0.10459114239673285,0.10450583572185568,8.530667487717525e-05,0.00010390762204680055,0.00013443966192318706,0.19647462503053248,28583160,3.0,"[1610000, 1210000, 520586, 131393]",3471979,,True,0,"[0.10209761433849449, 0.0021361332444549005, 0.0003032079685796251, 5.4186845203851615e-05]","[0.016123004171101997, 0.0004472301549207262, 0.00010663283785346471, 2.7337837369468032e-05]","[8, 8, 8, 8]"
Standard MC,European Call,european,0.0001,0.10454108538208264,0.10450583572185568,3.5249660226957524e-05,7.117472006592549e-05,7.942530656269958e-05,537.7266159579158,70194806784,,[4284351],4284351,16384.0,True,0,,,
Original Giles MLMC,European Call,european,0.0001,0.10446298840228191,0.10450583572185568,4.284731957376886e-05,7.101874317777638e-05,8.294308094836865e-05,0.10930820787325501,14177319,3.0,"[6375049, 527694, 129250, 32235]",7064228,,True,0,"[0.10206099004667939, 0.002080166190983114, 0.00031284521046418066, 8.986954155236341e-06]","[0.016113405044452425, 0.0004411241929890708, 0.00010718688859077976, 2.7426906744378598e-05]",
Modified MLMC,European Call,european,0.0001,0.10463188325138371,0.10450583572185568,0.00012604752952803666,0.00011181225788119557,0.0001684932067254115,0.0700379591435194,9508465,3.0,"[1610000, 533425, 130111, 32864]",2306400,,True,0,"[0.10216959376337192, 0.002115702550666713, 0.0002851849837893342, 6.140195355573298e-05]","[0.016124521712664906, 0.00044730723563305027, 0.0001064512347180377, 2.7278307172986535e-05]","[8, 8, 8, 8]"
Standard MC,European Call,european,0.0002,0.10454048154312694,0.10450583572185568,3.464582127125915e-05,0.00014193593830136587,0.00014610319473936623,137.74313612491824,17645617152,,[1077003],1077003,16384.0,True,0,,,
Original Giles MLMC,European Call,european,0.0002,0.10454378673816273,0.10450583572185568,3.7951016307047336e-05,0.00013943225903105414,0.00014450479056848166,0.028149500023573637,3687613,3.0,"[1594108, 131377, 31831, 10000]",1767316,,True,0,"[0.10205725454992795, 0.002000198629723884, 0.00033457810368522526, 0.00015175545482566248]","[0.0161124031498639, 0.00043831151838058746, 0.00010298371213367528, 2.7622664689061723e-05]",
Modified MLMC,European Call,european,0.0002,0.10464384600004076,0.10450583572185568,0.00013801027818508005,0.00014053535751872048,0.00019696960069421314,0.03418495808728039,3675580,3.0,"[1556795, 132333, 32856, 10000]",1731984,,True,0,"[0.1021764328065157, 0.0020569028683729558, 0.00036215579074102926, 4.835453441107672e-05]","[0.016107905406626738, 0.00043989493364726483, 0.00010852470028775127, 2.7761568804759065e-05]","[8, 8, 8, 8]"
Standard MC,European Call,european,0.0005,0.1046576481842306,0.10450583572185568,0.0001518124623749173,0.0003488528665604417,0.00038045413158457485,5.8864692088682204,730243072,,[178282],178282,4096.0,True,0,,,
Original Giles MLMC,European Call,european,0.0005,0.10459988955330912,0.10450583572185568,9.405383145344448e-05,0.0003329480789985894,0.0003459776676606799,0.004290667129680514,500753,2.0,"[212778, 17595, 10000]",240373,,True,0,"[0.1021333913175718, 0.0021146037118458926, 0.0003518945238914215]","[0.01604457648214651, 0.0004383183761859561, 0.00010537651447750261]",
Modified MLMC,European Call,european,0.0005,0.10413692587991114,0.10450583572185568,0.00036890984194454246,0.00033751786657835407,0.0005000127815797822,0.006257666973397136,492168,2.0,"[206013, 17231, 10000]",233244,,True,0,"[0.10182302905672745, 0.002100837171005555, 0.00021305965217813396]","[0.015996332143848886, 0.000445239725823059, 0.00010431653087477224]","[6, 4, 4]"
Standard MC,European Call,european,0.001,0.10409515659746128,0.10450583572185568,0.0004106791243943947,0.0007075844691650047,0.0008181278165524432,0.3864996668417007,44174336,,[43139],43139,1024.0,True,0,,,
Original Giles MLMC,European Call,european,0.001,0.10454606868851765,0.10450583572185568,4.0232966661973846e-05,0.0005971020347939142,0.0005984559562419412,0.0034255830105394125,303759,2.0,"[53759, 10000, 10000]",73759,,True,0,"[0.10196859738549209, 0.0022074098966117055, 0.0003700614064138488]","[0.01613433172801317, 0.0004609782941784532, 0.00010309650206579232]",
Modified MLMC,European Call,european,0.001,0.10398383072166233,0.10450583572185568,0.0005220050001933513,0.0006051406571284909,0.0007991773489887977,0.00379995908588171,301966,2.0,"[51966, 10000, 10000]",71966,,True,0,"[0.1015050242240701, 0.002318898033688981, 0.00015990846390325503]","[0.016016261379806076, 0.000475210347096741, 0.00010467634000672645]","[5, 4, 4]"
Standard MC,Asian Call,asian,5e-05,0.057625009628566974,0.057427662839515906,0.00019734678905106856,3.517809127874721e-05,0.000200457609620545,2966.5130715828855,336787013632,,[5138962],5138962,65536.0,True,0,,,
Original Giles MLMC,Asian Call,asian,5e-05,0.057666022302155395,0.057427662839515906,0.0002383594626394897,3.541733631170114e-05,0.00024097639125275828,0.5700422080699354,58084855,4.0,"[12563830, 3945421, 591188, 96931, 19424]",17216794,,True,0,"[0.05103095003553799, 0.006077141981018698, 0.0005068188304941423, 5.025326912793035e-05, 8.581859766379927e-07]","[0.004029126182406373, 0.001589345029116889, 0.00014286998954806822, 1.536566312410088e-05, 2.538227582746298e-06]",
Modified MLMC,Asian Call,asian,5e-05,0.05767844279718616,0.057427662839515906,0.0002507799576702552,5.9294746870354494e-05,0.00025769449775948726,0.3275156661402434,35857400,4.0,"[2010000, 1610000, 590958, 96632, 19524]",4327114,,True,0,"[0.051016903501257295, 0.006092792610429507, 0.00047911374702825916, 6.203441207234488e-05, 2.759852639875274e-05]","[0.004023397129943208, 0.001588746263619351, 0.00014268448993748565, 1.526336518087907e-05, 2.498649663561999e-06]","[8, 8, 8, 8, 8]"
