method,option,eps,rmse,mean_cost,mean_runtime,mean_price,mean_std_error,mean_abs_error
Modified MLMC,Asian Call,0.0005,0.00044799419771929944,1276063.0,0.01587830000789836,0.05774557457696022,0.0003159966035499008,0.00044799419771929944
Modified MLMC,Asian Call,0.001,0.0004963976663489994,273528.0,0.003357399982633069,0.05769717110833052,0.000586940360387372,0.0004963976663489994
Modified MLMC,Asian Call,0.002,0.001463734557268996,260000.0,0.0029366000089794397,0.05672983421741052,0.0007523244240021024,0.001463734557268996
Modified MLMC,European Call,0.0005,0.00017466185044648364,493064.0,0.007061999989673495,0.10468049757230216,0.00033767447082433215,0.00017466185044648364
Modified MLMC,European Call,0.001,0.0002242038273405772,302247.0,0.0038235000101849437,0.1042816318945151,0.000605024633664317,0.0002242038273405772
Modified MLMC,European Call,0.002,0.0015686359843166825,262822.0,0.0029018000059295446,0.102937199737539,0.0011402666293210718,0.0015686359843166825
Original Giles MLMC,Asian Call,0.0005,0.000537574243318982,1288007.0,0.014958599989768118,0.057655994531360534,0.00031117887576609176,0.000537574243318982
Original Giles MLMC,Asian Call,0.001,0.000698224439610956,274340.0,0.0033349999866914004,0.05749534433506856,0.0005843774954006215,0.000698224439610956
Original Giles MLMC,Asian Call,0.002,0.0006754536077784035,260000.0,0.0031666999857407063,0.05751811516690111,0.0007510288203786807,0.0006754536077784035
Original Giles MLMC,European Call,0.0005,0.0002977328407180735,503513.0,0.006481699994765222,0.10480356856257375,0.00033350355360372484,0.0002977328407180735
Original Giles MLMC,European Call,0.001,0.00013482967628336562,303573.0,0.0037124999798834324,0.10464066539813904,0.0005976139594019396,0.00013482967628336562
Original Giles MLMC,European Call,0.002,0.0008006723715837522,263037.0,0.002961599995614961,0.10370516335027193,0.0011315461598819677,0.0008006723715837522
Standard MC,Asian Call,0.0005,0.0009738882592141979,202706944.0,2.285366399999475,0.05721968051546532,0.00035694124634129014,0.0009738882592141979
Standard MC,Asian Call,0.001,0.0002644781532218088,13107200.0,0.22506619998603128,0.05792909062145771,0.000704308769967838,0.0002644781532218088
Standard MC,Asian Call,0.002,0.00027811884234921896,10240000.0,0.19319560000440106,0.058471687617028735,0.0008048787764655726,0.00027811884234921896
Standard MC,European Call,0.0005,0.00014904087916252362,697286656.0,6.529659099993296,0.10435679484269315,0.0003571059068022538,0.00014904087916252362
Standard MC,European Call,0.001,0.0004465334317930586,44980224.0,0.49764250000589527,0.10495236915364874,0.0007067547706536389,0.0004465334317930586
Standard MC,European Call,0.002,0.0005586150979142029,11371520.0,0.19520190000184812,0.10506445081976988,0.0014049235041932217,0.0005586150979142029
