method,option,eps,rmse,mean_cost,mean_runtime,mean_price,mean_std_error,mean_abs_error
Modified MLMC,Asian Call,5e-05,0.00022800453292356118,35785760.0,0.3609962774595867,0.05765015804290973,5.929558740019306e-05,0.0002224952033938211
Modified MLMC,Asian Call,0.0001,0.00022804552159034716,10427706.666666666,0.11305890317695837,0.05764910610036642,7.794721728522229e-05,0.00022144326085052346
Modified MLMC,Asian Call,0.0002,0.00022500217242264127,3170763.0,0.0356385693885386,0.057647637672012426,0.00013954164704430377,0.0002199748324965209
Modified MLMC,Asian Call,0.0005,0.0002917775314931821,1277376.0,0.014800721624245247,0.05755448565736315,0.0003156185154190442,0.00026140831430502415
Modified MLMC,Asian Call,0.001,0.0001736879107625561,273342.6666666667,0.0033737082655231156,0.057577728901951654,0.0005869370126301091,0.00015006606243575063
Modified MLMC,European Call,5e-05,0.0002024210742947473,28512746.666666668,0.2111828610456238,0.10456443414916461,0.00010389183397049421,0.0001858815286895956
Modified MLMC,European Call,0.0001,0.0001008839864032852,9518775.0,0.08013434731401503,0.10449080432893104,0.00011176103277834387,9.90630792766604e-05
Modified MLMC,European Call,0.0002,0.00020245947605274767,3675785.0,0.030986736140524346,0.1044992849306582,0.00014050224323747802,0.0001885936903102912
Modified MLMC,European Call,0.0005,0.0003995757237447823,493902.6666666667,0.006312027961636583,0.10442206048452772,0.00033749295947833316,0.00039621171723285
Modified MLMC,European Call,0.001,0.0006950318271575276,301509.3333333333,0.003978917375206947,0.10393421598306345,0.0006046247894516702,0.0005716197387922312
Original Giles MLMC,Asian Call,5e-05,0.00019439955556962114,58136934.0,0.6188295553438365,0.05761922412191983,3.5375806224848397e-05,0.00019156128240392875
Original Giles MLMC,Asian Call,0.0001,0.00021591555011296653,11606936.333333334,0.12113736135264237,0.05764295158424012,7.077968382403564e-05,0.00021528874472421614
Original Giles MLMC,Asian Call,0.0002,0.00036624957740768256,3279027.6666666665,0.031563111348077655,0.05775195356704246,0.00013681748752370797,0.0003242907275265601
Original Giles MLMC,Asian Call,0.0005,0.00022481553627150537,1291082.3333333333,0.011558777264629802,0.05764233616017516,0.00031036274001477933,0.00021467332065925002
Original Giles MLMC,Asian Call,0.001,0.0010321625987229088,274291.3333333333,0.003081986059745153,0.05807474013045796,0.0005834082457084929,0.0009228426147594171
Original Giles MLMC,European Call,5e-05,2.990299404040283e-05,56895107.333333336,0.4608802362345159,0.10451779719956684,3.54123765132024e-05,2.1604655086322293e-05
Original Giles MLMC,European Call,0.0001,8.736684745632944e-05,14229605.0,0.1167070969628791,0.10442346240751661,7.07728520261338e-05,8.237331433906074e-05
Original Giles MLMC,European Call,0.0002,0.00011545297606561273,3697866.0,0.028603430682172377,0.10451455481824483,0.00013948622836809532,0.00010512056630026152
Original Giles MLMC,European Call,0.0005,0.00017854768306569416,503352.6666666667,0.004490472298736374,0.10465849937494147,0.00033336883387960443,0.00015266365308578186
Original Giles MLMC,European Call,0.001,0.0007298242738454176,303096.3333333333,0.003311985948433479,0.10401665139546655,0.0005965830928461847,0.0005160063041637861
Standard MC,Asian Call,5e-05,0.00023397476656532973,336673985877.3333,3103.7692463333565,0.057660300551912715,3.520034457723353e-05,0.00023263771239681133
Standard MC,Asian Call,0.0001,0.00023838359253665334,21178187776.0,197.66999833324613,0.057659027837209186,7.018444724936035e-05,0.000231364997693273
Standard MC,Asian Call,0.0002,0.0002779413812732838,5280983722.666667,50.66890523637024,0.05765925036442399,0.00014045887493248225,0.00023158752490809223
Standard MC,Asian Call,0.0005,0.00047731328895151093,209760256.0,2.1716131806994476,0.057616276403886786,0.0003519418300057264,0.00044241754733603117
Standard MC,Asian Call,0.001,0.0008202614006015059,13007530.666666666,0.20461047200175622,0.05711589587908789,0.0007028877078333176,0.000725459073653463
Standard MC,European Call,5e-05,4.23608117657198e-05,1130760525141.3333,8591.220812597312,0.10451333943121936,3.5437251252050455e-05,3.9360845319635906e-05
Standard MC,European Call,0.0001,2.3100565428742807e-05,70945761962.66667,576.1973041389138,0.1045088341233857,7.075031660145757e-05,2.050137195460285e-05
Standard MC,European Call,0.0002,0.00012097278661378635,17806136661.333332,145.7244207498928,0.10451912269663416,0.00014128061396853446,0.00010894734507194137
Standard MC,European Call,0.0005,0.0003298653698896678,720951978.6666666,6.112460152634109,0.10442064028540514,0.00035103685725597426,0.0002719131806130047
Standard MC,European Call,0.001,0.000624508981692818,44397226.666666664,0.45718158370194334,0.10395813881666964,0.0007054772608192116,0.0005476969051860329
