name,0
eps,0.0005
price,0.057314386401056065
std_error,0.0003160144160491336
variance,9.986511115087492e-08
L,3
M,4
N_l,"[108130, 33414, 10000, 10000]"
level_means,"[0.05113936044938119, 0.00589446834572833, 0.00027341500606317573, 7.142599883371775e-06]"
level_vars,"[0.004053971711000442, 0.0015599850511223313, 0.00014121105596474502, 1.5657892518284833e-05]"
level_costs,"[1, 5, 20, 80]"
total_cost,1275200
eps2_cost,0.3188
bias_indicator,6.835375151579393e-05
bias_tolerance,0.0010606601717798212
converged,True
pilot_samples,10000
min_samples,10000
damping,0.5
batch_cap,50000
allocation_tol,0.05
max_allocation_rounds,8
allocation_rounds_by_L,"[5, 5, 4, 3]"
target_history_by_L,"[[[32899], [33382], [33157], [33023], [33031]], [[73282, 22326], [72637, 22244], [72482, 22261], [72365, 22283], [72410, 22314]], [[96622, 29775, 10000], [96901, 29898, 10000], [96944, 29924, 10000], [96922, 29921, 10000]], [[113069, 34905, 10000, 10000], [112966, 34952, 10000, 10000], [113005, 35050, 10000, 10000]]]"
